数据库表型	标准项目名称
小圆细胞	小圆上皮
轻链λ	尿轻链λ
轻链Κ	尿轻链κ
RF-IgM	类风湿因子IgM
RF-IgG	类风湿因子IgG
RF-IgA	类风湿因子IgA
抗结核抗体	抗结核杆菌抗体
120分钟葡萄糖	120分钟葡萄糖
180分钟葡萄糖	180分钟葡萄糖
25羟基维生素D	25羟基维生素D3
25羟基维生素D3	25羟基维生素D3
3.3'.5'三碘甲状腺原氨酚	3.3'.5'三碘甲状腺原氨酸
3.3'.5'三碘甲状腺原氨酸	3.3'.5'三碘甲状腺原氨酸
30分钟葡萄糖	30分钟葡萄糖
50%血氧饱和度的氧分压	50%血氧饱和度时的氧分压【P50】
P50	50%血氧饱和度时的氧分压【P50】
60分钟葡萄糖	60分钟葡萄糖
Ⅲ型前胶原N端肽(PⅢNP)	Ⅲ型前胶原N端肽(PⅢP)
Ⅳ型胶原	Ⅳ型胶原（CGⅣ）
α1-酸性糖蛋白	a1-酸性糖蛋白
Base(B)	BB
BB	BB
缓冲碱	BB
Base(ecf)	BE
BE(B)	BE
BE(ECF)	BE
细胞外液的碱偏差	BE
BTA	BTA
B细胞	B细胞百分比
B细胞绝对值计数	B细胞绝对值计数
BNP	B型-钠尿肽(BNP)
B型钠尿肽	B型-钠尿肽(BNP)
B型钠尿肽(BNP)	B型-钠尿肽(BNP)
B型-钠尿肽(BNP)	B型-钠尿肽(BNP)
B型钠尿肽前体(PRO-BNP)	B型钠尿肽前体(proBNP)
CA125	CA125
糖类抗原125	CA125
糖类抗原125(CA125)	CA125
糖链抗原125(CA125)	CA125
糖类抗原153	CA15-3
糖类抗原153(CA153)	CA15-3
CA15-3	CA15-3
糖链抗原15-3(CA15-3)	CA15-3
糖类抗原CA199	CA199
CA24-2	CA242
糖类抗原242	CA242
糖类抗原CA50	CA50
CA50	CA50
CA724	CA724
糖类抗原CA724	CA724
CANCA	CANCA
胞浆型抗中性粒细胞抗体	CANCA
抗胞浆型中性粒细胞抗体	CANCA
抗中性粒细胞胞浆抗体胞浆型	CANCA
抗中性粒细胞抗体胞浆型	CANCA
CD16/56	CD16+CD56+百分比
CD16+CD56+/CD45+	CD16+CD56+百分比
CD3-/CD16+CD56+	CD16+CD56+百分比
流式细胞CD16+/CD56+	CD16+CD56+百分比
NK细胞(CD3-CD16+CD56+)	CD16+CD56+绝对计数
CD3-/CD16+CD56+绝对计数	CD16+CD56+绝对计数
CD19+/CD45+	CD19+百分比
CD3-/CD19+	CD19+百分比
流式细胞CD19	CD19+百分比
流式细胞CD19+	CD19+百分比
总B细胞(CD3-CD19+)	CD19+绝对计数
CD3-/CD19+绝对计数	CD19+绝对计数
CD3	CD3+百分比
CD3+/CD45+	CD3+百分比
流式细胞CD3+	CD3+百分比
总T细胞(CD3+)	CD3绝对值计数
CD3绝对值计数	CD3绝对值计数
CD4/CD8	CD4/CD8
CD3,CD4/CD3,CD8	CD4+/CD8+
CD3+CD4+/CD3+CD8+	CD4+/CD8+
辅助/抑制T细胞比值(CD3+CD4+/CD3+CD8+)	CD4+/CD8+
CD3+/CD4+	CD4+百分比
CD3+CD4+/CD3+	CD4+百分比
CD4	CD4+百分比
流式细胞CD3+CD4+	CD4+百分比
辅助/诱导T细胞(CD3+CD4+)	CD4绝对值计数
CD3+/CD4+绝对计数	CD4绝对值计数
CD4绝对值计数	CD4绝对值计数
CD3+/CD8+	CD8+百分比
CD3+CD8+/CD3+	CD8+百分比
CD8	CD8+百分比
流式细胞CD3+CD8+	CD8+百分比
抑制/细胞毒T细胞(CD3+CD8+)	CD8绝对值计数
CD3+/CD8+绝对计数	CD8绝对值计数
CD8绝对值计数	CD8绝对值计数
癌胚抗原	CEA
癌胚抗原(CEA)	CEA
CRP	C反应蛋白
C反应蛋白	C反应蛋白
超敏CRP	C反应蛋白
超敏C反应蛋白	C反应蛋白
全血C反应蛋白	C反应蛋白
C反应蛋白(全血)	C反应蛋白
C肽(C-P)120分钟	C肽(C-P)120分钟
C肽(C-P)180分钟	C肽(C-P)180分钟
C肽(C-P)240分钟	C肽(C-P)240分钟
C肽(C-P)30分钟	C肽(C-P)30分钟
C肽(C-P)60分钟	C肽(C-P)60分钟
C肽(C-P)90分钟	C肽(C-P)90分钟
C肽	C肽(C-P)空腹
C肽(C-P)'空腹	C肽(C-P)空腹
C肽(C-P)空腹	C肽(C-P)空腹
EB病毒壳抗原IgA	EB病毒IgA抗体
EB病毒IgG抗体	EB病毒IgG抗体
EBVIgM	EB病毒IgM抗体
EB病毒IGM抗体	EB病毒IgM抗体
HDV-Ag	HDV-Ag
HDV-IgG	HDV-IgG
HDV-IgM	HDV-IgM
HIV抗原抗体（化学发光法）	HIV抗原抗体
HIV抗原抗体(化学发光法)	HIV抗原抗体
HIV抗原抗体(酶联免疫法)	HIV抗原抗体
IgA	IgA
免疫球蛋白A	IgA
IGE	IgE
免疫球蛋白E	IgE
总IGE	IgE
IgG	IgG
免疫球蛋白G	IgG
免疫球蛋白G1亚型(IgG1)	IgG1
免疫球蛋白G2亚型(IgG2)	IgG2
免疫球蛋白G3亚型(IgG3)	IgG3
IgG4	IgG4
免疫球蛋白G4亚型(IgG4)	IgG4
免疫球蛋白G亚类4(IgG4)	IgG4
IgM	IgM
免疫球蛋白M	IgM
M11黑根霉	M11黑根霉
M1点青霉	M2点青霉
M6交链孢霉	M6交链孢霉
MPO-ANCA	MPO-ANCA
ms1霉菌组合(点青/分枝孢/烟曲/交链孢霉)	ms1霉菌组合(点青/分枝孢/烟曲/交链孢霉)
NK细胞	NK细胞百分比
NK细胞绝对值计数	NK细胞绝对值计数
O2Hb	O2Hb
PANCA	PANCA
核周型抗中性粒细胞抗体	PANCA
抗核周型中性粒细胞抗体	PANCA
抗中性粒细胞胞浆抗体核周型	PANCA
